id,starting_pos,player_a,player_b,time_a,time_b,result
2591,5747,Whisper,Ascendant,60000,60000,-1
2592,5474,Ascendant,Whisper,60000,60000,-1
2593,5748,Whisper,Ascendant,60000,60000,-1
2594,5654,Ascendant,Whisper,60000,60000,1
2595,5770,Whisper,Ascendant,60000,60000,1
2596,5670,Ascendant,Whisper,60000,60000,-1
2597,5774,Whisper,Ascendant,60000,60000,1
2598,5674,Ascendant,Whisper,60000,60000,1
2599,5895,Whisper,Ascendant,60000,60000,1
2600,5679,Ascendant,Whisper,60000,60000,-1
2601,5899,Whisper,Ascendant,60000,60000,-1
2602,5695,Ascendant,Whisper,60000,60000,-1
2603,7699,Whisper,Ascendant,60000,60000,-1
2604,5699,Ascendant,Whisper,60000,60000,1
2605,7724,Whisper,Ascendant,60000,60000,1
2606,5704,Ascendant,Whisper,60000,60000,1
2607,8231,Whisper,Ascendant,60000,60000,-1
2608,5720,Ascendant,Whisper,60000,60000,-1
2609,8232,Whisper,Ascendant,60000,60000,1
2610,5724,Ascendant,Whisper,60000,60000,-1
